R_hold,episode,reward,hold_rate,grad_norm,delta_weight_norm
0.01,1,-0.12439999999999998,0.44,0.38889708938815964,0.09100858867168427
0.01,2,-0.023799999999999995,0.38,0.2519551553491055,0.06092604622244835
0.01,3,0.03640000000000001,0.36,0.05747820131491219,0.04898262023925781
0.1,1,-0.21600000000000003,0.56,3.8817911859322303,0.09469987452030182
0.1,2,-0.014000000000000007,0.34,0.14469734345046414,0.0661611407995224
0.1,3,-0.03200000000000001,0.32,0.3283910603757043,0.04896722361445427
0.2,1,-0.272,0.56,2.855680190465442,0.09787936508655548
0.2,2,-0.128,0.44,0.38565211692194024,0.06798743456602097
0.2,3,-0.128,0.44,0.37731072390387943,0.057116083800792694
